time_sec,mid_price,best_bid,best_ask,hft_agg_inventory,imbalance
640.0,1194.375,1193.75,1195.0,62.0,-0.875
641.0,1194.125,1193.5,1194.75,78.0,-0.7333333333333333
642.0,1193.75,NaN,1193.75,99.0,-1.0
643.0,1193.5,NaN,1193.5,105.0,-1.0
644.0,1191.5,1190.5,1192.5,112.0,-0.8461538461538461
645.0,1191.375,1190.5,1192.25,110.0,-0.6666666666666666
646.0,1191.0,NaN,1191.0,119.0,-1.0
647.0,1191.5,NaN,1191.5,118.0,-1.0
648.0,1191.0,NaN,1191.0,119.0,-1.0
649.0,1190.75,NaN,1190.75,117.0,-1.0
650.0,1190.5,NaN,1190.5,115.0,-1.0
651.0,1189.25,NaN,1189.25,117.0,-1.0
652.0,1189.5,1189.0,1190.0,116.0,-0.75
653.0,1187.75,1187.0,1188.5,116.0,-0.75
654.0,1188.75,NaN,1188.75,117.0,-1.0
655.0,1188.75,NaN,1188.75,120.0,-1.0
656.0,1188.25,NaN,1188.25,118.0,-1.0
657.0,1188.5,NaN,1188.5,116.0,-1.0
658.0,1186.5,NaN,1186.5,117.0,-1.0
659.0,1185.75,1185.0,1186.5,117.0,-0.8888888888888888
660.0,1186.5,NaN,1186.5,116.0,-1.0
661.0,1186.5,NaN,1186.5,117.0,-1.0
662.0,1185.75,NaN,1185.75,118.0,-1.0
663.0,1186.5,NaN,1186.5,120.0,-1.0
664.0,1187.0,NaN,1187.0,118.0,-1.0
665.0,1187.25,NaN,1187.25,120.0,-1.0
666.0,1187.5,NaN,1187.5,120.0,-1.0
667.0,1185.5,NaN,1185.5,119.0,-1.0
668.0,1186.0,NaN,1186.0,119.0,-1.0
669.0,1185.5,NaN,1185.5,118.0,-1.0
670.0,1186.0,NaN,1186.0,120.0,-1.0
671.0,1185.75,NaN,1185.75,117.0,-1.0
672.0,1185.75,NaN,1185.75,118.0,-1.0
673.0,1185.75,NaN,1185.75,119.0,-1.0
674.0,1186.0,NaN,1186.0,120.0,-1.0
675.0,1186.0,NaN,1186.0,120.0,-1.0
676.0,1186.0,NaN,1186.0,120.0,-1.0
677.0,1186.25,NaN,1186.25,117.0,-1.0
678.0,1186.5,NaN,1186.5,119.0,-1.0
679.0,1186.5,NaN,1186.5,118.0,-1.0
680.0,1185.75,NaN,1185.75,116.0,-1.0
681.0,1183.5,1182.75,1184.25,117.0,-0.8461538461538461
682.0,1184.0,NaN,1184.0,118.0,-1.0
683.0,1184.25,NaN,1184.25,119.0,-1.0
684.0,1184.25,NaN,1184.25,119.0,-1.0
685.0,1184.25,NaN,1184.25,114.0,-1.0
686.0,1184.25,NaN,1184.25,118.0,-1.0
687.0,1184.25,NaN,1184.25,118.0,-1.0
688.0,1184.0,NaN,1184.0,117.0,-1.0
689.0,1180.375,1179.75,1181.0,115.0,-0.42857142857142855
690.0,1180.25,NaN,1180.25,118.0,-1.0
691.0,1179.0,1178.25,1179.75,117.0,-0.8888888888888888
692.0,1179.75,NaN,1179.75,119.0,-1.0
693.0,1180.25,NaN,1180.25,120.0,-1.0
694.0,1180.75,NaN,1180.75,120.0,-1.0
695.0,1181.0,NaN,1181.0,120.0,-1.0
696.0,1178.25,1178.0,1178.5,102.0,0.5
697.0,1174.75,1174.5,1175.0,91.0,0.7777777777777778
698.0,1172.5,1172.5,NaN,69.0,1.0
699.0,1173.0,1173.0,NaN,36.0,1.0
700.0,1172.5,1172.0,1173.0,16.0,0.75
701.0,1171.5,1171.5,NaN,18.0,1.0
702.0,1171.75,1171.25,1172.25,39.0,0.8666666666666667
703.0,1172.0,1171.25,1172.75,60.0,0.6666666666666666
704.0,1171.625,1171.0,1172.25,76.0,0.7777777777777778
705.0,1170.75,1170.25,1171.25,84.0,0.75
706.0,1172.25,1171.75,1172.75,100.0,0.6363636363636364
707.0,1173.0,1173.0,NaN,100.0,1.0
708.0,1174.5,1174.5,NaN,110.0,1.0
709.0,1175.0,1175.0,NaN,112.0,1.0
710.0,1176.375,1175.5,1177.25,113.0,0.8181818181818182
711.0,1177.0,1176.0,1178.0,112.0,0.8333333333333334
712.0,1176.0,1176.0,NaN,116.0,1.0
713.0,1176.875,1176.25,1177.5,109.0,0.6363636363636364
714.0,1175.5,1175.0,1176.0,103.0,0.06666666666666667
715.0,1177.5,1176.75,1178.25,109.0,0.7777777777777778
716.0,1179.125,1178.75,1179.5,81.0,-0.8571428571428571
717.0,1179.375,1179.0,1179.75,57.0,-0.875
718.0,1179.75,NaN,1179.75,38.0,-1.0
719.0,1179.0,1178.25,1179.75,30.0,-0.7419354838709677
720.0,1179.75,NaN,1179.75,29.0,-1.0
721.0,1178.75,1178.25,1179.25,47.0,-0.6842105263157895
722.0,1178.75,1178.25,1179.25,60.0,-0.8
723.0,1177.625,1176.75,1178.5,83.0,-0.6923076923076923
724.0,1178.0,NaN,1178.0,96.0,-1.0
725.0,1175.375,1174.75,1176.0,105.0,-0.5555555555555556
726.0,1176.75,1176.5,1177.0,93.0,-0.2
727.0,1172.0,1172.0,NaN,76.0,1.0
728.0,1171.0,1171.0,NaN,49.0,1.0
729.0,1170.375,1170.0,1170.75,33.0,0.6666666666666666
730.0,1170.0,1170.0,NaN,33.0,1.0
